771417802|Freeheld|Peter Sollett|Drama|Oct 2, 2015|Feb 2, 2016|PG-13 (for some thematic elements, language and sexuality)|103|Summit Entertainment|Ron Nyswaner|The true love story of Laurel Hester and Stacie Andree and their fight for justice. A decorated New Jersey police detective, Laurel is diagnosed with cancer and wants to leave her hard earned pension to her domestic partner, Stacie. However the county officials, Freeholders, conspire to prevent Laurel from doing this. Hard-nosed detective Dane Wells, and activist Steven Goldstein, unite in Laurel and Stacie's defense, rallying police officers and ordinary citizens to support their struggle for equality.|5.6/10|133|64|69|5.7/10|34|14|20|3.4/5|3,382
771419169|Truth|James Vanderbilt|Drama|Oct 16, 2015|Feb 2, 2016|R (for language and a brief nude photo)|125|Sony Pictures|James Vanderbilt|On the morning of September 9, 2004, veteran CBS News producer MARY MAPES (Cate Blanchett) believed she had every reason to feel proud of a broadcast journalism job well done. By the end of the day, Mapes, CBS News, and the venerable CBS News anchor DAN RATHER (Robert Redford) would be under harsh scrutiny. -- (C) Sony|6.2/10|170|105|65|6.4/10|36|22|14|3.4/5|7,894
771419619|Marshland (La isla mínima)|Alberto Rodríguez, Rafael Cobos|Art House & International, Mystery & Suspense, Special Interest||Feb 9, 2016|NR|105|AXN|Alberto Rodríguez, Rafael Cobos|The Spanish deep South, 1980. A series of brutal murders of adolescent girls in a remote and forgotten town bring together two disparate characters - both detectives in the homicide division - to investigate the cases. With deep divisions in their ideology, detectives Juan and Pedro must put aside their differences if they are to successfully hunt down a killer who for years has terrorized a community in the shadow of a general disregard for women rooted in a misogynistic past.|7.7/10|36|33|3|6.6/10|7|6|1|3.7/5|1,073
771419683|Big Stone Gap|Adriana Trigiani|Comedy, Romance|Oct 9, 2015|Feb 2, 2016|PG-13 (for brief suggestive material)|96|Picturehouse Films|Adriana Trigiani|Ave Maria Mulligan (Ashley Judd), the town's self-proclaimed spinster, has resigned herself to a quiet life of singlehood and being useful. She works in her family's pharmacy, delivers the prescriptions herself, and directs the town's annual outdoor drama until one day she learns of a long-buried family secret that changes the course of her life forever.|5.1/10|20|7|13|4.4/10|10|3|7|3.4/5|1,216
771423300|Extraordinary Tales|Raul Garcia|Animation, Art House & International, Mystery & Suspense|Oct 23, 2015|Feb 2, 2016|NR|70|Mélusine Productions|Raul Garcia, Stephan Roelants|Adapting the look and variety of a classic horror anthology, this film offers heart-pounding takes on The Tell-Tale Heart, The Pit and the Pendulum, The Fall of the House of Usher, The Facts in the Case of Mr. Valdemar, and The Masque of the Red Death. Each tale is given a unique animated look, inspired by sources as diverse as classic Hollywood black-and-white monster films, or the pulpy feel of EC Comics, and narrated by a stable of legendary genre directors and actors.|6.2/10|18|11|7|6/10|8|6|2|3.3/5|521
771430165|Cabin Fever|Travis Zariwny|Horror|Feb 12, 2016|Feb 12, 2016|R (for horror violence and gore, language, sexuality, nudity and some drug use)|99|Pelican Point Media|Randy Pearlstein, Eli Roth|The story is familiar: fresh out of college, a group of five friends retreat to a remote cabin in the woods for one last week of partying-only to become snacks for a gruesome, flesh-eating virus. What's surprising are the ingenious new deaths, which offer a fresh spin on a horror-comedy milestone.|2.5/10|28|0|28|2.5/10|7|0|7|1.7/5|646
771432455|The Pack|Nick Robertson (IV)|Art House & International, Horror, Mystery & Suspense|Feb 5, 2016|Feb 5, 2016|NR|99|IFC Midnight|Evan Randall Green|Man's best friend turns against him when a horde of bloodthirsty wild dogs descends upon a family's farmhouse. In a remote stretch of the Australian Outback, a sheep rancher, his veterinarian wife, and their two teenage children live in bucolic isolation-until a horrifying night when a pack of fang-bearing, four-legged rabid beasts besiege their home. With no one around to help them, the family must band together to survive-or else become canine kibble. Generating a steadily mounting sense of dread, this film cleverly toys with genre conventions before it goes in for the kill.|6.6/10|8|4|4|||||2.3/5|188
771435242|Batman: Bad Blood|Jay Oliva|Animation||Feb 2, 2016|PG-13|106|Warner Bros. Animation|J.M. DeMatteis|Bruce Wayne and his alter ego Batman go missing, so Batwoman undertakes a search while Robin and Nightwing patrol Gotham for Batman and Alfred substitutes for Bruce.|7.6/10|5|5|0|||||3.5/5|1,083
770807799|Goosebumps|Rob Letterman|Horror, Kids & Family, Mystery & Suspense|Oct 16, 2015|Jan 26, 2016|PG (for scary and intense creature action and images, and for some rude humor)|103|Sony Pictures|Darren Lemke, Larry Karaszewski|Upset about moving from a big city to a small town, teenager Zach Cooper (Dylan Minnette) finds a silver lining when he meets the beautiful girl, Hannah (Odeya Rush), living right next door. But every silver lining has a cloud, and Zach's comes when he learns that Hannah has a mysterious dad who is revealed to be R. L. Stine (Jack Black), the author of the bestselling Goosebumps series. It turns out that there is a reason why Stine is so strange... he is a prisoner of his own imagination - the monsters that his books made famous are real, and Stine protects his readers by keeping them locked up in their books. When Zach unintentionally unleashes the monsters from their manuscripts and they begin to terrorize the town, it's suddenly up to Stine, Zach, and Hannah to get all of them back in the books where they belong. Note: Scholastic has sold over 400 million Goosebumps books worldwide in 32 languages since the series introduction in 1992, earning critical acclaim and dominating global best seller lists. R.L. Stine has been recognized as one of the bestselling children's authors in history. (c) Sony|6.4/10|155|118|37|6.3/10|30|23|7|3.5/5|51,810
771269688|Life Tracker|Joe McClean|Science Fiction & Fantasy|Apr 26, 2013|Jan 19, 2016|NR|100|Moxie Lady Productions||Dillon, a documentary filmmaker, decides to follow a news story about a scientific discovery to predict a person's genetic future through their DNA. He has no idea how closely the story will affect his life.(c)Official Site|7.7/10|5|5|0|||||3.5/5|185
